STOCK_ID,NAME,COMPANY,SHARE_PRICE
S2021-1598,SBI,"State Bank of India, India",428.8
S2021-1599,NTPC,"NTPC Ltd, India",116.05
S2021-1600,TISC,"Tata Steel Ltd, India",1165.25
S2021-1601,PNBK,"Punjab National Bank, India",42.3
S2021-1602,FB,"Facebook Inc, United States",343.18
S2021-1603,AA,"Alcoa Corp, United States",36.35
S2021-1604,TWTR,"Twitter Inc, United States",68.25
S2021-1605,BABA,"Alibaba Group Holdings Ltd, United States",218.38
S2021-1606,TAMO,"Tata Motors Ltd, India",339.65
S2021-1607,RELI,"Reliance Industries Ltd, India",2104.45